radius_nm,amplitude,phase_rad
50,0.983165,1.71436
50.0701,0.983117,1.71754
50.1401,0.983068,1.72075
50.2102,0.98302,1.72395
50.2803,0.98297,1.72714
50.3504,0.98292,1.73034
50.4204,0.982869,1.73356
50.4905,0.982818,1.7368
50.5606,0.982766,1.74004
50.6306,0.982713,1.74329
50.7007,0.98266,1.74653
50.7708,0.982607,1.74976
50.8408,0.982553,1.75299
50.9109,0.982498,1.75622
50.981,0.982444,1.75943
51.0511,0.982388,1.76271
51.1211,0.982331,1.766
51.1912,0.982273,1.76928
51.2613,0.982216,1.77256
51.3313,0.982157,1.77584
51.4014,0.982099,1.77911
51.4715,0.98204,1.78238
51.5415,0.98198,1.78563
51.6116,0.98192,1.7889
51.6817,0.98186,1.79215
51.7518,0.981799,1.79539
51.8218,0.981738,1.79864
51.8919,0.981677,1.80187
51.962,0.981615,1.80511
52.032,0.981553,1.80834
52.1021,0.98149,1.81155
52.1722,0.981426,1.81482
52.2422,0.981362,1.81806
52.3123,0.981297,1.82134
52.3824,0.981231,1.82462
52.4525,0.981165,1.82789
52.5225,0.981096,1.83126
52.5926,0.981028,1.83456
52.6627,0.98096,1.83785
52.7327,0.980888,1.84128
52.8028,0.980815,1.84469
52.8729,0.980742,1.84809
52.9429,0.980668,1.8515
53.013,0.980594,1.85491
53.0831,0.980518,1.85837
53.1532,0.98044,1.86188
53.2232,0.980362,1.86538
53.2933,0.980283,1.86889
53.3634,0.980203,1.87242
53.4334,0.980122,1.87596
53.5035,0.980041,1.8795
53.5736,0.979959,1.88303
53.6436,0.979877,1.88656
53.7137,0.979793,1.89012
53.7838,0.979708,1.89375
53.8539,0.979622,1.89736
53.9239,0.979535,1.90099
53.994,0.979448,1.90461
54.0641,0.97936,1.90823
54.1341,0.979272,1.91185
54.2042,0.979182,1.91551
54.2743,0.979092,1.91916
54.3443,0.979001,1.9228
54.4144,0.97891,1.92644
54.4845,0.978819,1.93008
54.5546,0.978727,1.93373
54.6246,0.978634,1.93737
54.6947,0.97854,1.94105
54.7648,0.978445,1.94473
54.8348,0.97835,1.9484
54.9049,0.978255,1.95207
54.975,0.978159,1.95574
55.045,0.978062,1.95941
55.1151,0.977965,1.96307
55.1852,0.977868,1.96674
55.2553,0.97777,1.9704
55.3253,0.977672,1.97406
55.3954,0.977573,1.97772
55.4655,0.977473,1.98141
55.5355,0.977373,1.98509
55.6056,0.977272,1.98878
55.6757,0.977171,1.99246
55.7457,0.977069,1.99613
55.8158,0.976965,1.99987
55.8859,0.97686,2.00363
55.956,0.976755,2.00737
56.026,0.97665,2.01112
56.0961,0.976544,2.01486
56.1662,0.976437,2.01862
56.2362,0.97633,2.02235
56.3063,0.976218,2.02626
56.3764,0.976109,2.03001
56.4464,0.975994,2.03396
56.5165,0.975878,2.03793
56.5866,0.975762,2.04186
56.6567,0.975645,2.04581
56.7267,0.975528,2.04977
56.7968,0.975408,2.05378
56.8669,0.975287,2.05782
56.9369,0.975165,2.06187
57.007,0.975043,2.06591
57.0771,0.97492,2.06995
57.1471,0.974796,2.07402
57.2172,0.974671,2.0781
57.2873,0.974546,2.08219
57.3574,0.974418,2.08631
57.4274,0.974289,2.09049
57.4975,0.974159,2.09467
57.5676,0.974029,2.09885
57.6376,0.973898,2.10302
57.7077,0.973767,2.1072
57.7778,0.973635,2.11138
57.8478,0.973503,2.11556
57.9179,0.97337,2.11974
57.988,0.973238,2.12391
58.0581,0.973104,2.12809
58.1281,0.972971,2.13226
58.1982,0.972837,2.13643
58.2683,0.972701,2.14064
58.3383,0.972564,2.14487
58.4084,0.972427,2.1491
58.4785,0.97229,2.15333
58.5485,0.972152,2.15757
58.6186,0.972013,2.16182
58.6887,0.971873,2.16609
58.7588,0.971731,2.17039
58.8288,0.97159,2.17469
58.8989,0.971448,2.17899
58.969,0.971305,2.18329
59.039,0.971162,2.18759
59.1091,0.971019,2.19188
59.1792,0.970876,2.19618
59.2492,0.970732,2.20047
59.3193,0.970588,2.20478
59.3894,0.970441,2.20914
59.4595,0.970294,2.2135
59.5295,0.970147,2.21787
59.5996,0.97,2.22222
59.6697,0.969852,2.22657
59.7397,0.969704,2.23092
59.8098,0.969556,2.23527
59.8799,0.969408,2.23961
59.9499,0.969259,2.24395
60.02,0.96911,2.24831
60.0901,0.968957,2.25276
60.1602,0.968805,2.25718
60.2302,0.968649,2.26169
60.3003,0.968493,2.26621
60.3704,0.968337,2.27071
60.4404,0.96818,2.27521
60.5105,0.968021,2.27979
60.5806,0.96786,2.28443
60.6507,0.967697,2.28909
60.7207,0.967534,2.29376
60.7908,0.967371,2.29842
60.8609,0.967208,2.30308
60.9309,0.967044,2.30773
61.001,0.96688,2.3124
61.0711,0.966715,2.31709
61.1411,0.966547,2.32186
61.2112,0.96638,2.32662
61.2813,0.966212,2.33138
61.3514,0.966044,2.33613
61.4214,0.965876,2.34089
61.4915,0.965708,2.34563
61.5616,0.965539,2.3504
61.6316,0.96537,2.35518
61.7017,0.9652,2.35996
61.7718,0.965031,2.36473
61.8418,0.964861,2.36951
61.9119,0.96469,2.37432
61.982,0.964519,2.37913
62.0521,0.964348,2.38394
62.1221,0.964176,2.38877
62.1922,0.964004,2.3936
62.2623,0.963832,2.39843
62.3323,0.963659,2.40326
62.4024,0.963487,2.40808
62.4725,0.963315,2.41292
62.5425,0.963141,2.41777
62.6126,0.962969,2.42261
62.6827,0.962796,2.42744
62.7528,0.962623,2.43227
62.8228,0.962451,2.43709
62.8929,0.962278,2.44192
62.963,0.962104,2.44678
63.033,0.961931,2.45163
63.1031,0.961758,2.45647
63.1732,0.961585,2.4613
63.2432,0.961412,2.46613
63.3133,0.961239,2.47096
63.3834,0.961067,2.47577
63.4535,0.960895,2.48059
63.5235,0.960723,2.48538
63.5936,0.960551,2.49018
63.6637,0.96038,2.49498
63.7337,0.960208,2.49978
63.8038,0.960031,2.50474
63.8739,0.959859,2.50956
63.9439,0.959679,2.51459
64.014,0.9595,2.51961
64.0841,0.959321,2.52461
64.1542,0.959141,2.52965
64.2242,0.95896,2.53473
64.2943,0.958777,2.53984
64.3644,0.958595,2.54496
64.4344,0.958413,2.55007
64.5045,0.958231,2.55517
64.5746,0.958049,2.56029
64.6446,0.957867,2.56542
64.7147,0.957686,2.57052
64.7848,0.957502,2.57569
64.8549,0.957319,2.58085
64.9249,0.957136,2.58601
64.995,0.956953,2.59117
65.0651,0.956771,2.59632
65.1351,0.95659,2.60145
65.2052,0.956409,2.60659
65.2753,0.956228,2.61171
65.3453,0.956047,2.61683
65.4154,0.955867,2.62194
65.4855,0.955688,2.62704
65.5556,0.955506,2.63221
65.6256,0.955324,2.6374
65.6957,0.955142,2.6426
65.7658,0.95496,2.64777
65.8358,0.954779,2.65296
65.9059,0.954598,2.65813
65.976,0.954418,2.66328
66.046,0.954238,2.66843
66.1161,0.954059,2.67358
66.1862,0.95388,2.67871
66.2563,0.953702,2.68384
66.3263,0.953524,2.68896
66.3964,0.953346,2.69408
66.4665,0.953168,2.69923
66.5365,0.952989,2.7044
66.6066,0.95281,2.70956
66.6767,0.952633,2.71471
66.7467,0.952455,2.71986
66.8168,0.952278,2.725
66.8869,0.9521,2.73016
66.957,0.951922,2.73532
67.027,0.951746,2.74045
67.0971,0.95157,2.74559
67.1672,0.951393,2.75074
67.2372,0.951217,2.75588
67.3073,0.951042,2.76102
67.3774,0.950867,2.76615
67.4474,0.950692,2.77126
67.5175,0.950517,2.77639
67.5876,0.950341,2.78157
67.6577,0.950163,2.78682
67.7277,0.949983,2.79212
67.7978,0.949804,2.7974
67.8679,0.949626,2.80267
67.9379,0.949447,2.80797
68.008,0.949267,2.81332
68.0781,0.949087,2.81866
68.1481,0.948908,2.82399
68.2182,0.948729,2.82931
68.2883,0.948551,2.83463
68.3584,0.948373,2.83993
68.4284,0.948196,2.84522
68.4985,0.948018,2.85057
68.5686,0.94784,2.85592
68.6386,0.947663,2.86124
68.7087,0.947486,2.86657
68.7788,0.947309,2.87189
68.8488,0.947134,2.87719
68.9189,0.946957,2.88253
68.989,0.946781,2.88786
69.0591,0.946604,2.89324
69.1291,0.946428,2.89859
69.1992,0.946251,2.90399
69.2693,0.946072,2.90943
69.3393,0.945895,2.91484
69.4094,0.945718,2.92023
